Регион;Округ;Год;Направления реализации государственной молодeжной политики;№ строки; Бюджет СРФ, руб ; Бюджет МО, руб ; Кол-во грантов ; Бюджет грантов, руб ; Численность молодeжи, задействованной в программных мероприятиях по направлению ; Количество детских и молодeжных общественных объединений, работающих по данному  ;;;
Белгородская область;ЦФО;2021;      другие;23;; 538 007 ;;; 1 200 ; 318 ;;;
Белгородская область;ЦФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24;; 374 285 ;;; 14 411 ; 9 ;;;
Белгородская область;ЦФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25;; 406 369 ; 1 ; 20 000 ; 1 314 ; 9 ;;;
Белгородская область;ЦФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26;; 1 402 994 ;;; 102 426 ; 228 ;;;
Белгородская область;ЦФО;2021;Развитие молодeжного самоуправления;27;; 45 679 ;;; 13 280 ;;;;
Брянская область;ЦФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; 750 000 ; 81 000 ; -   ; -   ; 6 572 ; 7 ;;;
Брянская область;ЦФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ; -   ; -   ;;;
Брянская область;ЦФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; 1 500 ; -   ; -   ; 127 ; 1 ;;;
Брянская область;ЦФО;2021;      аэрокосмос;4; -   ; -   ; -   ; -   ; -   ; -   ;;;
Брянская область;ЦФО;2021;      сельское хозяйство;5; -   ; 2 000 ; -   ; -   ; 1 682 ; 1 ;;;
Брянская область;ЦФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; 403 000 ; 2 500 ; -   ; -   ; 2 398 ; 3 ;;;
Брянская область;ЦФО;2021;      другое;7; 347 000 ; 75 000 ; -   ; -   ; 2 365 ; 2 ;;;
Брянская область;ЦФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; -   ; 37 601 ; -   ; -   ; 963 ; 9 ;;;
Брянская область;ЦФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; 290 559 ; 4 000 ; -   ; -   ; 656 ; 48 ;;;
Брянская область;ЦФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; 548 027 ; -   ; -   ; -   ; 50 ;;;;
Брянская область;ЦФО;2021;Развитие международного и межрегионального молодeжного сотрудничества;11; 2 930 811 ; 140 916 ; 1 ; 495 840 ; 4 819 ; 18 ;;;
Брянская область;ЦФО;2021;Работа с молодeжью, находящейся в социально-опасном положении;12; -   ; 227 649 ; -   ; -   ; 2 473 ; 21 ;;;
Брянская область;ЦФО;2021;Вовлечение молодeжи в занятие творческой деятельностью;13; 3 495 529 ; 370 132 ; 2 ; 1 876 473 ; 55 000 ; 177 ;;;
Брянская область;ЦФО;2021;Содействие профориентации и карьерным устремлениям молодeжи;14; 3 506 274 ; 444 948 ; 1 ; 1 438 158 ; 4 889 ; 71 ;;;
Брянская область;ЦФО;2021;Поддержка и взаимодействие с общественными организациями и движениями;15; 3 173 430 ; 128 500 ; 11 ; 6 970 058 ; 24 131 ;;;;
Брянская область;ЦФО;2021;Формирование у молодeжи семейных ценностей;16; 250 000 ; 336 895 ; -   ; -   ; 11 950 ; 21 ;;;
Брянская область;ЦФО;2021;Патриотическое воспитание молодeжи, в том числе:;17; 2 027 900 ; 307 739 ; 10 ; 7 974 969 ; 26 103 ; 183 ;82000;;
Брянская область;ЦФО;2021;"      на развитие и мероприятия
      военно-патриотических клубов";18; -   ; 72 000 ; 3 ; 5 002 669 ; 7 733 ; 42 ;;;
Брянская область;ЦФО;2021;      поисковых отрядов и объединений;19; -   ; -   ; 2 ; 1 648 000 ; 3 942 ; 11 ;;;
Брянская область;ЦФО;2021;      историко-краеведческих кружков и объединений исторической реконструкции;20; -   ; 6 000 ; -   ; -   ; 1 182 ; 38 ;;;
Брянская область;ЦФО;2021;      молодeжных казачьих объединений;21; 800 975 ; -   ; 1 ; 324 300 ; 320 ; 8 ;;;
Брянская область;ЦФО;2021;"      волонтeрских объединений в сфере
      патриотического воспитания детей
      и молодeжи";22; 338 887 ; 56 900 ; -   ; -   ; 4 250 ; 60 ;;;
Брянская область;ЦФО;2021;      другие;23; 888 038 ; 172 839 ; 4 ; 1 000 000 ; 8 676 ; 24 ;;;
Брянская область;ЦФО;2021;Формирование российской идентичности, единства российской нации, содействие межкультурному и межконфессиональному диалогу;24; 58 000 ; 11 900 ; 1 ; 532 501 ; 5 791 ; 29 ;;;
Брянская область;ЦФО;2021;Вовлечение молодeжи в волонтeрскую деятельность;25; 7 512 250 ; 385 264 ; -   ; -   ; 64 900 ; 257 ;;;
Брянская область;ЦФО;2021;Вовлечение молодeжи в здоровый образ жизни и занятия спортом, популяризация культуры безопасности в молодeжной среде;26; 422 129 ; 2 092 306 ; 12 ; 10 326 045 ; 78 895 ; 156 ;;;
Брянская область;ЦФО;2021;Развитие молодeжного самоуправления;27; 600 000 ; 1 000 ; -   ; -   ; 8 426 ;;;;
Владимирская область;ЦФО;2021;Вовлечение молодeжи в инновационную деятельность и научно-техническое творчество, в том числе:;1; -   ; 405 000 ; 7 ; 235 000 ; 5 311 ; 183 ;;;
Владимирская область;ЦФО;2021;      биомедицина;2; -   ; -   ; -   ; -   ; -   ; -   ;;;
Владимирская область;ЦФО;2021;"      промышленные технологии
      (нанотехнологии, композиты, пр.)";3; -   ; -   ; -   ; -   ; 412 ; 27 ;;;
Владимирская область;ЦФО;2021;      аэрокосмос;4; -   ; -   ; -   ; -   ; -   ; -   ;;;
Владимирская область;ЦФО;2021;      сельское хозяйство;5; -   ; -   ; -   ; -   ; 132 ; 8 ;;;
Владимирская область;ЦФО;2021;"      информационные технологии - IT
      (в том числе робототехника)";6; -   ; 344 000 ; -   ; -   ; 2 033 ; 138 ;;;
Владимирская область;ЦФО;2021;      другое;7; -   ; 61 000 ; 7 ; 235 000 ; 2 734 ; 10 ;;;
Владимирская область;ЦФО;2021;Социализация молодeжи, нуждающейся в особой заботе государства;8; 2 724 300 ; 65 000 ; 2 ; 30 000 ; 767 ; 11 ;;;
Владимирская область;ЦФО;2021;Вовлечение молодeжи в работу средств массовой информации (молодeжные медиа);9; -   ; 80 000 ; -   ; -   ; 2 726 ; 52 ;;;
Владимирская область;ЦФО;2021;Содействие в подготовке и переподготовке специалистов в сфере государственной молодeжной политики;10; -   ; -   ; -   ; -   ; -   ;;;;
